conf,year,title,doi,in_scope,out of scope comment,pagesim,nav,depth,limit,pageload,objective,needs navigation,topic,nonav reason
ccs,2016,All Your DNS Records Point to Us: Understanding the Security Threats of Dangling DNS Records,https://doi.org/10.1145/2976749.2978387,no,dns scan,,,,,,,,,
ccs,2016,Content Security Problems? Evaluating the Effectiveness of Content Security Policy in the Wild,https://doi.org/10.1145/2976749.2978338,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,CSP & Other Headers,yes,Web Security,"Notice that this is a subset of the real violations which may be triggered upon navigation, since the crawler does not exercise any website functionality besides page loading."
ccs,2016,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy.",https://doi.org/10.1145/2976749.2978363,no,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,
ccs,2016,CSPAutoGen: Black-Box Enforcement of Content Security Policy upon Real-World Websites,https://doi.org/10.1145/2976749.2978384,yes,,URL,Unspecified,Unspecified,2500,Unspecified,,,Web Security,
ccs,2016,Lurking Malice in the Cloud: Understanding and Detecting Cloud Repository as a Malicious Service,https://doi.org/10.1145/2976749.2978349,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Page Resources,yes,"Cybercrime, Measurements",
ccs,2016,On the Practical (In-)Security of 64-Bit Block Ciphers: Collision Attacks on HTTP over TLS and OpenVPN,https://doi.org/10.1145/2976749.2978423,no,tls scan,,,,,,,,,
ccs,2016,Online Tracking: A 1-Million-Site Measurement and Analysis,https://doi.org/10.1145/2976749.2978313,yes,,Homepage,Homepage,Homepage,Homepage,90 sec,Tracking,yes,"Web Security, Privacy, Measurements","While we have performed deeper crawls of sites (and plan to make this data publicly available), the analyses presented in the paper pertain only to homepages. For comparison, we include a preliminary analysis of a crawl which visits 4 internal pages in addition to the homepage of the top 10,000 sites. The analyses presented in this paper should be considered a lower bound on the amount of tracking a user will experience in the wild."
ccs,2016,Practical Censorship Evasion Leveraging Content Delivery Networks,https://doi.org/10.1145/2976749.2978365,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Censorship,no,"Censorship, Privacy, Fingerprinting",
ccs,2016,Protecting Insecure Communications with Topology-Aware Network Tunnels,https://doi.org/10.1145/2976749.2978305,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Network Routing,no,Network Security,
ccs,2016,Slitheen: Perfectly Imitated Decoy Routing through Traffic Replacement,https://doi.org/10.1145/2976749.2978312,yes,,Homepage,Homepage,Homepage,Homepage,onload,Page Resources,yes,"Censorship, Network Security",
ccs,2017,A Large-Scale Empirical Study of Security Patches,https://doi.org/10.1145/3133956.3134072,no,custom app crawler,,,,,,,,,
ccs,2017,Certified Malware: Measuring Breaches of Trust in the Windows Code-Signing PKI,https://doi.org/10.1145/3133956.3133958,no,tls scan,,,,,,,,,
ccs,2017,Code-Reuse Attacks for the Web: Breaking Cross-Site Scripting Mitigations via Script Gadgets,https://doi.org/10.1145/3133956.3134091,yes,,URL,BFS,1,None,onload,,,"Web Security, Measurements",
ccs,2017,Deterministic Browser,https://doi.org/10.1145/3133956.3133996,yes,,Homepage,Homepage,Homepage,Homepage,onload,Browser Performance,yes,"Web Security, Privacy",
ccs,2017,DolphinAttack: Inaudible Voice Commands.,https://doi.org/10.1145/3133956.3134052,no,,,,,,,,,,
ccs,2017,How Unique is Your .Onion? An Analysis of the Fingerprintability of Tor Onion Services,https://doi.org/10.1145/3133956.3134005,yes,,Homepage,Homepage,Homepage,Homepage,onload,Website Fingerprinting,yes,"Web Security, Fingerprinting, Privacy","Our data collection methodology follows standard experimental practices in the website ingerprinting literature when crawling only home pages. On the one hand, limiting the evaluation to home pages (rather than including all inner pages of a site) reduces the classiication space and gives an advantage to the adversary compared to considering that users may directly browse to the inner pages of a site. We argue that a fraction of users will still irst land on the homepage of a site before visiting inner pages and thus this adversarial advantage is not unrealistic."
ccs,2017,Rewriting History: Changing the Archived Web from the Present,https://doi.org/10.1145/3133956.3134042,yes,,URL,BFS,1,6,onload,,,"Web Security, Measurements",
ccs,2017,The Waterfall of Liberty: Decoy Routing Circumvention That Resists Routing Attacks,https://doi.org/10.1145/3133956.3134075,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Website Probing,no,"Network Security, Censorship",
ccs,2018,A Robust and Efficient Defense against Use-after-Free Exploits via Concurrent Pointer Sweeping,https://doi.org/10.1145/3243734.3243826,yes,,Homepage,Homepage,Homepage,Homepage,onload,Breakage,yes,System Security,
ccs,2018,Deep Fingerprinting: Undermining Website Fingerprinting Defenses with Deep Learning,https://doi.org/10.1145/3243734.3243768,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Website Fingerprinting,yes,"Web Security, Privacy, Fingerprinting",virtually all studies on website fingerprinting train and test the attacks on home pages. For comparison with prior work we make same assumptions in our evaluation
ccs,2018,DeepCorr: Strong Flow Correlation Attacks on Tor Using Deep Learning,https://doi.org/10.1145/3243734.3243824,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Network Routing,no,"Web Security, Privacy, Fingerprinting",
ccs,2018,Domain Validation++ For MitM-Resilient PKI,https://doi.org/10.1145/3243734.3243790,no,dns scan,,,,,,,,,
ccs,2018,How You Get Shot in the Back: A Systematical Study about Cryptojacking in the Real World,https://doi.org/10.1145/3243734.3243840,yes,,URL,Random,1,3,Unspecified,,,"Web Security, Malware, Measurements",
ccs,2018,Measuring Information Leakage in Website Fingerprinting Attacks and Defenses,https://doi.org/10.1145/3243734.3243832,yes,,Homepage,Homepage,Homepage,Homepage,100 sec?,Website Fingerprinting,yes,"Web Security, Privacy, Fingerprinting",
ccs,2018,MineSweeper: An In-Depth Look into Drive-by Cryptocurrency Mining and Its Defense,https://doi.org/10.1145/3243734.3243858,yes,,None,Random,Unspecified,3,4 sec,,,"Web Security, Malware, Measurements",
ccs,2018,Pride and Prejudice in Progressive Web Apps: Abusing Native App-like Features in Web Applications,https://doi.org/10.1145/3243734.3243867,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,JavaScript Analysis,yes,"Web Security, Side-Channel","Our collection method has limitations. It may miss PWAs that require certain user events to register service workers. Such events may include clicks on certain DOM elements or keyboard events. However, the missed PWAs pose less of a threat because it becomes more difficult for an attacker to exploit their service worker, push notification, or cache."
ccs,2018,Privacy-Preserving Dynamic Learning of Tor Network Traffic,https://doi.org/10.1145/3243734.3243815,no,offline crawl,,,,,,,,,
ccs,2018,Rendered Insecure: GPU Side Channel Attacks Are Practical,https://doi.org/10.1145/3243734.3243831,yes,,Homepage,Homepage,Homepage,Homepage,onload,Side-Channel,no,"System Security, Side-Channel",
ccs,2018,Secure Opportunistic Multipath Key Exchange.,https://doi.org/10.1145/3243734.3243791,no,,,,,,,,,,
ccs,2018,The Web's Sixth Sense: A Study of Scripts Accessing Smartphone Sensors,https://doi.org/10.1145/3243734.3243860,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Tracking,yes,"Web Security, Privacy, Fingerprinting, Measurements",
ccs,2018,Towards Paving the Way for Large-Scale Windows Malware Analysis: Generic Binary Unpacking with Orders-of-Magnitude Performance Boost,https://doi.org/10.1145/3243734.3243771,yes,,Homepage,Homepage,Homepage,Homepage,js exec,Browser Performance,yes,"System Security, Malware",
ccs,2018,Towards Usable Checksums: Automating the Integrity Verification of Web Downloads for the Masses,https://doi.org/10.1145/3243734.3243746,no,no crawl,,,,,,,,,
ccs,2018,Yet Another Text Captcha Solver: A Generative Adversarial Network Based Approach.,https://doi.org/10.1145/3243734.3243754,no,,,,,,,,,,
ccs,2019,Certificate Transparency in the Wild: Exploring the Reliability of Monitors.,https://doi.org/10.1145/3319535.3345653,no,,,,,,,,,,
ccs,2019,Geneva: Evolving Censorship Evasion Strategies,https://doi.org/10.1145/3319535.3363189,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Censorship,no,Censorship,
ccs,2019,HideNoSeek: Camouflaging Malicious JavaScript in Benign ASTs,https://doi.org/10.1145/3319535.3345656,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,JavaScript Analysis,yes,"Malware, Web Security",
ccs,2019,Just the Tip of the Iceberg: Internet-Scale Exploitation of Routers for Cryptojacking,https://doi.org/10.1145/3319535.3354230,no,offline crawl,,,,,,,,,
ccs,2019,Let's Encrypt: An Automated Certificate Authority to Encrypt the Entire Web,https://doi.org/10.1145/3319535.3363192,no,tls scan,,,,,,,,,
ccs,2019,"Oh, the Places You've Been! User Reactions to Longitudinal Transparency About Third-Party Web Tracking and Inferencing",https://doi.org/10.1145/3319535.3363200,yes,,None,Random,1,3,20 sec,,,"Usable Security, Privacy",
ccs,2019,Practical Decryption ExFiltration: Breaking PDF Encryption,https://doi.org/10.1145/3319535.3354214,yes,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,System Security,
ccs,2019,"Security Certification in Payment Card Industry: Testbeds, Measurements, and Recommendations",https://doi.org/10.1145/3319535.3363195,no,manual,,,,,,,,,
ccs,2019,Triplet Fingerprinting: More Practical and Portable Website Fingerprinting with N-Shot Learning,https://doi.org/10.1145/3319535.3354217,no,offline crawl,,,,,,,,,
ccs,2019,Your Cache Has Fallen: Cache-Poisoned Denial-of-Service Attack,https://doi.org/10.1145/3319535.3354215,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Back-end Stack,yes,Web Security,
ccs,2020,Bypassing Tor Exit Blocking with Exit Bridge Onion Services,https://doi.org/10.1145/3372297.3417245,yes,,Homepage,Homepage,Homepage,Homepage,onload,Network Routing,no,Censorship,
ccs,2020,CLAPS: Client-Location-Aware Path Selection in Tor,https://doi.org/10.1145/3372297.3417279,no,tor scan(not a crawl),,,,,,,,,
ccs,2020,Dangerous Skills Got Certified: Measuring the Trustworthiness of Skill Certification in Voice Personal Assistant Platforms.,https://doi.org/10.1145/3372297.3423339,no,,,,,,,,,,
ccs,2020,Fill in the Blanks: Empirical Analysis of the Privacy Threats of Browser Form Autofill,https://doi.org/10.1145/3372297.3417271,yes,,Unspecified,BFS,1,None,Unspecified,,,"Web Security, Measurements, Privacy",
ccs,2020,Mnemosyne: An Effective and Efficient Postmortem Watering Hole Attack Investigation System,https://doi.org/10.1145/3372297.3423355,yes,,Unspecified,Unspecified,Unspecified,15,Unspecified,,,Web Security,
ccs,2020,PMForce: Systematically Analyzing PostMessage Handlers at Scale,https://doi.org/10.1145/3372297.3417267,yes,,None,Random,1,11,Unspecified,,,"Web Security, Measurements",
ccs,2020,Slimium: Debloating the Chromium Browser with Feature Subsetting,https://doi.org/10.1145/3372297.3417866,yes,,Homepage,Homepage,Homepage,Homepage,5 sec,Breakage,yes,"System Security, Privacy",it is possible that Slimium would mistakenly eliminate needed code
ccs,2020,Talking with Familiar Strangers: An Empirical Study on HTTPS Context Confusion Attacks,https://doi.org/10.1145/3372297.3417252,no,tls scan,,,,,,,,,
ccs,2020,The Cookie Hunter: Automated Black-Box Auditing for Web Authentication and Authorization Flaws,https://doi.org/10.1145/3372297.3417869,yes,,URL,BFS,2,None,Unspecified,,,"Web Security, Measurements",
ccs,2020,TrafficSliver: Fighting Website Fingerprinting Attacks with Traffic Splitting,https://doi.org/10.1145/3372297.3423351,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Website Fingerprinting,yes,"Web Security, Privacy, Fingerprinting",
ccs,2020,VisualPhishNet: Zero-Day Phishing Website Detection by Visual Similarity,https://doi.org/10.1145/3372297.3417233,yes,,None,BFS,1,None,Unspecified,,,Cybercrime,
ccs,2020,Zombie Awakening: Stealthy Hijacking of Active Domains through DNS Hosting Referral,https://doi.org/10.1145/3372297.3417864,no,dns scan,,,,,,,,,
ccs,2021,All Your Credentials Are Belong to Us: On Insecure WPA2-Enterprise Configurations,https://doi.org/10.1145/3460120.3484569,no,manual,,,,,,,,,
ccs,2021,Catching Transparent Phish: Analyzing and Detecting MITM Phishing Toolkits.,https://doi.org/10.1145/3460120.3484765,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Predefined URL List,no,"Cybercrime, Measurements",
ccs,2021,Let's Downgrade Let's Encrypt,https://doi.org/10.1145/3460120.3484815,can’t find paper,,,,,,,,,,
ccs,2021,"Out of Sight, Out of Mind: Detecting Orphaned Web Pages at Internet-Scale",https://doi.org/10.1145/3460120.3485367,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Predefined URL List,no,"Web Security, Measurements",
ccs,2021,Packet Scheduling with Optional Client Privacy,https://doi.org/10.1145/3460120.3485371,yes,,Homepage,Homepage,Homepage,Homepage,random(up to a min),Network Routing,no,"Network Security, Privacy",
ccs,2021,"SugarCoat: Programmatically Generating Privacy-Preserving, Web-Compatible Resource Replacements for Content Blocking.",https://doi.org/10.1145/3460120.3484578,yes,,URL,Random,Unspecified,5,onload + 15 seconds,,,"Privacy, Web Security",
ccs,2021,T-Reqs: HTTP Request Smuggling with Differential Fuzzing,https://doi.org/10.1145/3460120.3485384,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Back-end Stack,yes,Web Security,"different endpoints on a site may use distinct proxy technologies, requiring a comprehensive crawl of each site for an accurate analysis."
ccs,2021,Themis: Ambiguity-Aware Network Intrusion Detection Based on Symbolic Model Comparison,https://doi.org/10.1145/3460120.3484762,no,tls scan,,,,,,,,,
ccs,2021,Wireless Charging Power Side-Channel Attacks,https://doi.org/10.1145/3460120.3484733,yes,,Homepage,Homepage,Homepage,Homepage,10 sec,Website Fingerprinting,yes,"System Security, Side-Channel, Fingerprinting",
ccs,2022,An Extensive Study of Residential Proxies in China,https://doi.org/10.1145/3548606.3559377,yes,,None,Unspecified,None,101,onload,,,Network Security,
ccs,2022,Cart-Ology: Intercepting Targeted Advertising via Ad Network Identity Entanglement,https://doi.org/10.1145/3548606.3560641,yes,,Homepage,Homepage,Homepage,Homepage,30 sec,Tracking,yes,"Web Security, Privacy","We note this method produces a lower bound on possible merchants using Criteo, as merchants may not utilize Criteo at all times, on all pages,"
ccs,2022,DISTINCT: Identity Theft Using In-Browser Communications in Dual-Window Single Sign-On,https://doi.org/10.1145/3548606.3560692,no,manual visits,,,,,,,,,
ccs,2022,Helping or Hindering? How Browser Extensions Undermine Security,https://doi.org/10.1145/3548606.3560685,yes,,Homepage,Homepage,Homepage,Homepage,6 sec,Predefined URL List,no,Web Security,
ccs,2022,"I'm SPARTACUS, No, I'm SPARTACUS: Proactively Protecting Users from Phishing by Intentionally Triggering Cloaking Behavior",https://doi.org/10.1145/3548606.3559334,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Breakage,yes,Cybercrime,
ccs,2022,InviCloak: An End-to-End Approach to Privacy and Performance in Web Content Distribution,https://doi.org/10.1145/3548606.3559336,no,manual,,,,,,,,,
ccs,2022,Phishing URL Detection: A Network-Based Approach Robust to Evasion,https://doi.org/10.1145/3548606.3560615,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Predefined URL List,no,Cybercrime,
imc,2010,Measuring Path MTU Discovery Behaviour,https://doi.org/10.1145/1879141.1879155,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Network Routing,no,"Measurements, Networks",
imc,2011,"Measuring the State of ECN Readiness in Servers, Clients,and Routers",https://doi.org/10.1145/2068816.2068833,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Network Routing,no,"Measurements, Networks",
imc,2011,"Understanding Website Complexity: Measurements, Metrics, and Implications",https://doi.org/10.1145/2068816.2068846,yes,,Homepage,Homepage,Homepage,Homepage,onload,In-Browser Network Activity,yes,Measurements,"Our study focused on the landing pages of websites. As a preliminary study to evaluate how “deeper” non-landing pages might differ,"
imc,2012,"Content Delivery and the Natural Evolution of DNS: Remote Dns Trends, Performance Issues and Alternative Solutions",https://doi.org/10.1145/2398776.2398831,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,In-Browser Network Activity,yes,"Measurements, Networks",
imc,2012,Taster's Choice: A Comparative Analysis of Spam Feeds,https://doi.org/10.1145/2398776.2398821,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Predefined URL List,no,Measurements,
imc,2013,"Next Stop, the Cloud: Understanding Modern Web Service Deployment in EC2 and Azure",https://doi.org/10.1145/2504730.2504740,no,dns scan,,,,,,,,,
imc,2014,Analysis of SSL Certificate Reissues and Revocations in the Wake of Heartbleed,https://doi.org/10.1145/2663716.2663758,no,tls scan,,,,,,,,,
imc,2014,Dissecting Web Latency in Ghana,https://doi.org/10.1145/2663716.2663748,yes,,Homepage,Homepage,Homepage,Homepage,onload,Browser Performance,yes,"Measurements, Networks",
imc,2014,How Much Can We Micro-Cache Web Pages?,https://doi.org/10.1145/2663716.2663739,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Page Resources,yes,Measurements,
imc,2014,"Need, Want, Can Afford: Broadband Markets and the Behavior of Users",https://doi.org/10.1145/2663716.2663753,no,offline dataset,,,,,,,,,
imc,2014,The Dark Alleys of Madison Avenue: Understanding Malicious Advertisements,https://doi.org/10.1145/2663716.2663719,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Advertisements,yes,"Web Security, Measurements",
imc,2014,The Matter of Heartbleed,https://doi.org/10.1145/2663716.2663755,no,tls scan,,,,,,,,,
imc,2015,Annoyed Users: Ads and Ad-Block Usage in the Wild,https://doi.org/10.1145/2815675.2815705,yes,,Homepage,Homepage,Homepage,Homepage,5 sec,Advertisements,yes,Privacy,
imc,2015,Detecting Malicious Activity with DNS Backscatter,https://doi.org/10.1145/2815675.2815706,no,no crawl,,,,,,,,,
imc,2015,Measuring the Impact and Perception of Acceptable Advertisements,https://doi.org/10.1145/2815675.2815703,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Advertisements,yes,"Privacy, Measurements","We surveyed only the landing page of each site. By limiting our visit to the first page, our survey produces a lower bound on the number of matching filters as some filters will not activate without user interaction"
imc,2015,Resilience of Deployed TCP to Blind Attacks,https://doi.org/10.1145/2815675.2815700,no,tcp scan,,,,,,,,,
imc,2016,Browser Feature Usage on the Modern Web,https://doi.org/10.1145/2987443.2987466,yes,,URL,Random,None,13,30 sec,,,Measurements,
imc,2016,Measuring the Security Harm of TLS Crypto Shortcuts,https://doi.org/10.1145/2987443.2987480,no,tls scan,,,,,,,,,
imc,2016,Tunneling for Transparency: A Large-Scale Analysis of End-to-End Violations in the Internet,https://doi.org/10.1145/2987443.2987455,no,tls scan,,,,,,,,,
imc,2016,Understanding On-Device Bufferbloat for Cellular Upload,https://doi.org/10.1145/2987443.2987490,yes,,Homepage,Homepage,Homepage,Homepage,onload,Browser Performance,yes,"Measurements, Networks",
imc,2017,Challenges in Inferring Internet Congestion Using Throughput Measurements,https://doi.org/10.1145/3131365.3131382,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Network Routing,no,"Measurements, Networks",
imc,2017,Inferring BGP Blackholing Activity in the Internet,https://doi.org/10.1145/3131365.3131379,no,dns scan,,,,,,,,,
imc,2017,Large-Scale Scanning of TCP's Initial Window,https://doi.org/10.1145/3131365.3131370,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Back-end Stack,yes,"Measurements, Networks",
imc,2017,Mission Accomplished? HTTPS Security after Diginotar,https://doi.org/10.1145/3131365.3131401,no,tls scan,,,,,,,,,
imc,2017,Target Generation for Internet-Wide IPv6 Scanning,https://doi.org/10.1145/3131365.3131405,no,tcp scan,,,,,,,,,
